Restaurant name,Neighborhood,Borough,Median Household Income,Neighborhood Latitude,Neighborhood Longitude,Pop./km2,Competitors,Venue Category,Venue Latitude,Venue Longitude
Spartan Souvlaki_957,Bay Ridge,Brooklyn,57980.0,40.625801065010656,-74.03062069353813,11593.0,Spartan Souvlaki,Greek Restaurant,40.62551069524931,-74.03020218110727
Boston Market_958,Bay Terrace,Queens,71784.0,40.78284280624555,-73.7768022262158,7369.0,Boston Market,American Restaurant,40.78040543426114,-73.77681732638933
Boston Market_959,Bay Terrace,Staten Island,71784.0,40.78284280624555,-73.7768022262158,7369.0,Boston Market,American Restaurant,40.78040543426114,-73.77681732638933
The Health Nuts_960,Bay Terrace,Queens,71784.0,40.78284280624555,-73.7768022262158,7369.0,The Health Nuts,Gluten-free Restaurant,40.77878776917681,-73.7784260268008
The Health Nuts_961,Bay Terrace,Staten Island,71784.0,40.78284280624555,-73.7768022262158,7369.0,The Health Nuts,Gluten-free Restaurant,40.77878776917681,-73.7784260268008
Asian Terrace_962,Bay Terrace,Queens,71784.0,40.78284280624555,-73.7768022262158,7369.0,Asian Terrace,Asian Restaurant,40.778963089558566,-73.77831034990028
Asian Terrace_963,Bay Terrace,Staten Island,71784.0,40.78284280624555,-73.7768022262158,7369.0,Asian Terrace,Asian Restaurant,40.778963089558566,-73.77831034990028
Applebee's Grill + Bar_964,Bay Terrace,Queens,71784.0,40.78284280624555,-73.7768022262158,7369.0,Applebee's Grill + Bar,American Restaurant,40.77919893,-73.77643705
Applebee's Grill + Bar_965,Bay Terrace,Staten Island,71784.0,40.78284280624555,-73.7768022262158,7369.0,Applebee's Grill + Bar,American Restaurant,40.77919893,-73.77643705
Genki Sushi_966,Bay Terrace,Queens,71784.0,40.55398800858462,-74.13916622175769,7369.0,Genki Sushi,Sushi Restaurant,40.55378931635097,-74.14295730770142
Genki Sushi_967,Bay Terrace,Staten Island,71784.0,40.55398800858462,-74.13916622175769,7369.0,Genki Sushi,Sushi Restaurant,40.55378931635097,-74.14295730770142
Villa Paradiso_968,Bay Terrace,Queens,71784.0,40.55398800858462,-74.13916622175769,7369.0,Villa Paradiso,Italian Restaurant,40.55395910122833,-74.14333013544902
Villa Paradiso_969,Bay Terrace,Staten Island,71784.0,40.55398800858462,-74.13916622175769,7369.0,Villa Paradiso,Italian Restaurant,40.55395910122833,-74.14333013544902
Caridad & Louie_4,Baychester,Bronx,37816.89473684211,40.866858107252696,-73.83579759808117,10463.0,Caridad & Louie,Spanish Restaurant,40.865843040869976,-73.83770669702484
Moe's Southwest Grill_5,Baychester,Bronx,37816.89473684211,40.866858107252696,-73.83579759808117,10463.0,Moe's Southwest Grill,Mexican Restaurant,40.86631,-73.83032
McDonald's_6,Baychester,Bronx,37816.89473684211,40.866858107252696,-73.83579759808117,10463.0,McDonald's,Fast Food Restaurant,40.86870592437685,-73.83058532145697
TGI Fridays_7,Baychester,Bronx,37816.89473684211,40.866858107252696,-73.83579759808117,10463.0,TGI Fridays,American Restaurant,40.863156700000005,-73.8338828
Avli Little Greek Tavern_970,Bayside,Queens,79120.0,40.76604063281064,-73.77427363068671,8803.967071397698,Avli Little Greek Tavern,Greek Restaurant,40.765728653906976,-73.77197219555069
